nom_hotel,distance_centre_km,note,nb_avis,prix,lien
St Christopher's Inn Gare du Nord,2.3,8.4,16211,23.9,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Gare-du-Nord/Paris/72963
Les Piaules,3.4,8.8,3790,20.48,https://www.hostelworld.com/hosteldetails.php/Les-Piaules/Paris/100113
Generator Paris,3.0,8.0,5685,22.0,https://www.hostelworld.com/hosteldetails.php/Generator-Paris/Paris/92198
JO&JOE Paris - Gentilly,5.6,8.6,1067,21.0,https://www.hostelworld.com/hosteldetails.php/JO-and-JOE-Paris-Gentilly/Paris/293315
St Christopher's Inn Canal,4.1,8.3,21047,21.9,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Canal/Paris/19865
The People Hostel - Paris 12,5.3,9.2,341,15.0,https://www.hostelworld.com/hosteldetails.php/The-People-Hostel-Paris-12/Paris/295854
Enjoy Hostel,3.9,7.2,477,24.75,https://www.hostelworld.com/hosteldetails.php/Enjoy-Hostel/Paris/267345
Le Village Montmartre by Hiphophostels,2.1,8.8,5662,15.9,https://www.hostelworld.com/hosteldetails.php/Le-Village-Montmartre-by-Hiphophostels/Paris/606
Trendy Hostel,6.6,7.8,3160,19.9,https://www.hostelworld.com/hosteldetails.php/Trendy-Hostel/Paris/93804
Auberge Internationale des Jeunes,3.8,7.1,2553,15.57,https://www.hostelworld.com/hosteldetails.php/Auberge-Internationale-des-Jeunes/Paris/75279
The Loft Boutique Hostel Paris by Hiphophostels,3.7,8.6,3454,19.5,https://www.hostelworld.com/hosteldetails.php/The-Loft-Boutique-Hostel-Paris-by-Hiphophostels/Paris/63087
Vintage Paris Gare du Nord by Hiphophostels,2.0,8.3,5829,16.5,https://www.hostelworld.com/hosteldetails.php/Vintage-Paris-Gare-du-Nord-by-Hiphophostels/Paris/34761
Hotel Madrigal,3.1,9.2,253,42.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Madrigal/Paris/290501
The 3 Ducks Eiffel Tower by Hiphophostels,3.9,8.2,5770,26.0,https://www.hostelworld.com/hosteldetails.php/The-3-Ducks-Eiffel-Tower-by-Hiphophostels/Paris/600
Plug Inn Montmartre by Hiphophostels,2.1,8.8,4904,23.9,https://www.hostelworld.com/hosteldetails.php/Plug-Inn-Montmartre-by-Hiphophostels/Paris/40840
L'Hotel Particulier,3.5,9.0,923,40.0,https://www.hostelworld.com/hosteldetails.php/L-Hotel-Particulier/Paris/37116
BVJ Opera-Montmartre,1.2,7.5,2185,19.99,https://www.hostelworld.com/hosteldetails.php/BVJ-Opera-Montmartre/Paris/82165
Le Montclair Montmartre by River,2.9,7.8,8550,27.0,https://www.hostelworld.com/hosteldetails.php/Le-Montclair-Montmartre-by-River/Paris/1399
Le Regent Montmartre by Hiphophostels,2.0,8.4,6456,27.5,https://www.hostelworld.com/hosteldetails.php/Le-Regent-Montmartre-by-Hiphophostels/Paris/40614
Peace & Love Hostel,3.2,7.1,4994,22.0,https://www.hostelworld.com/hosteldetails.php/Peace-and-Love-Hostel/Paris/2303
Caulaincourt Montmartre by Hiphophostels,2.6,8.8,5500,28.0,https://www.hostelworld.com/hosteldetails.php/Caulaincourt-Montmartre-by-Hiphophostels/Paris/2193
Hotel de la Felicite,2.8,9.1,395,24.25,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Felicite/Paris/12782
MIJE Marais,2.3,8.2,3202,25.0,https://www.hostelworld.com/hosteldetails.php/MIJE-Marais/Paris/265100
Untalented - Villette,4.9,7.3,132,17.05,https://www.hostelworld.com/hosteldetails.php/Untalented-Villette/Paris/297166
MEININGER Paris Porte de Vincennes,6.4,8.5,19,16.0,https://www.hostelworld.com/hosteldetails.php/MEININGER-Paris-Porte-de-Vincennes/Paris/297678
Perfect Hostel,1.7,8.2,3986,23.0,https://www.hostelworld.com/hosteldetails.php/Perfect-Hostel/Paris/14156
Bastille Hostel,3.8,7.2,461,5.0,https://www.hostelworld.com/hosteldetails.php/Bastille-Hostel/Paris/263338
Young & Happy Latin Quarter by Hiphophostels,3.0,8.3,3659,21.9,https://www.hostelworld.com/hosteldetails.php/Young-and-Happy-Latin-Quarter-by-Hiphophostels/Paris/607
FIAP Jean Monnet,4.0,8.7,7567,34.0,https://www.hostelworld.com/hosteldetails.php/FIAP-Jean-Monnet/Paris/20653
BVJ Champs-Elysées,2.7,7.9,2860,22.75,https://www.hostelworld.com/hosteldetails.php/BVJ-Champs-Elysees/Paris/84994
Luna-Park Hotel,2.9,8.4,2138,22.0,https://www.hostelworld.com/hosteldetails.php/Luna-Park-Hotel/Paris/15767
Auberge de Jeunesse HI Paris Yves Robert,3.3,7.1,1,32.0,https://www.hostelworld.com/hosteldetails.php/Auberge-de-Jeunesse-HI-Paris-Yves-Robert/Paris/307391
Woodstock Montmartre by Hiphophostels,1.7,7.9,3796,24.1,https://www.hostelworld.com/hosteldetails.php/Woodstock-Montmartre-by-Hiphophostels/Paris/602
Arty Paris Porte de Versailles by River,4.4,8.0,3091,22.9,https://www.hostelworld.com/hosteldetails.php/Arty-Paris-Porte-de-Versailles-by-River/Paris/64845
Hotel Rachel,5.4,7.4,70,20.83,https://www.hostelworld.com/hosteldetails.php/Hotel-Rachel/Paris/102269
Hotel Viator,3.6,7.9,327,27.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Viator/Paris/10100
Aloha Eiffel Tower by Hiphophostels,3.4,7.3,4786,30.0,https://www.hostelworld.com/hosteldetails.php/Aloha-Eiffel-Tower-by-Hiphophostels/Paris/601
Auberge de Jeunesse HI Paris Le d'Artagnan,5.5,9.0,3,28.0,https://www.hostelworld.com/hosteldetails.php/Auberge-de-Jeunesse-HI-Paris-Le-d-Artagnan/Paris/307374
Hotel Bonsejour Montmartre,2.2,8.6,737,24.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Bonsejour-Montmartre/Paris/19538
Hotel Regina,0.3,0.0,3,34.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Regina/Paris/79318
Smart Place Paris Gare du Nord by Hiphophostels,2.1,8.3,2532,22.0,https://www.hostelworld.com/hosteldetails.php/Smart-Place-Paris-Gare-du-Nord-by-Hiphophostels/Paris/4887
Hotel Terminus Paris la Defense,6.8,7.7,1,25.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Terminus-Paris-la-Defense/Paris/264426
Hotel Montmartre Clignancourt,2.2,7.6,522,22.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Montmartre-Clignancourt/Paris/23291
Hotel Mogador,1.0,9.1,10,57.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Mogador/Paris/265640
Hotel Eiffel Rive Gauche,2.5,10.0,142,46.34,https://www.hostelworld.com/hosteldetails.php/Hotel-Eiffel-Rive-Gauche/Paris/57044
Yooma Urban Lodge,4.0,8.7,77,31.67,https://www.hostelworld.com/hosteldetails.php/Yooma-Urban-Lodge/Paris/276091
Lebron Hotel,1.4,5.9,4,34.5,https://www.hostelworld.com/hosteldetails.php/Lebron-Hotel/Paris/299450
Best Western Nouvel Orleans Montparnasse,4.0,0.0,1,54.5,https://www.hostelworld.com/hosteldetails.php/Best-Western-Nouvel-Orleans-Montparnasse/Paris/71785
Oops Latin Quarter by Hiphophostels,3.0,7.6,5827,32.0,https://www.hostelworld.com/hosteldetails.php/Oops-Latin-Quarter-by-Hiphophostels/Paris/22773
Hôtel du Globe 18,2.9,8.3,16,19.0,https://www.hostelworld.com/hosteldetails.php/Hotel-du-Globe-18/Paris/267576
Princesse Isabelle,6.8,9.3,21,27.5,https://www.hostelworld.com/hosteldetails.php/Princesse-Isabelle/Paris/280490
Eurohotel St Denis,8.2,5.5,248,16.89,https://www.hostelworld.com/hosteldetails.php/Eurohotel-St-Denis/Paris/36568
Hotel Hipotel Paris Hippodrome,10.8,5.8,375,22.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Hipotel-Paris-Hippodrome/Paris/29790
Hotel Louvre Marsollier Opera,0.2,9.1,14,53.34,https://www.hostelworld.com/hosteldetails.php/Hotel-Louvre-Marsollier-Opera/Paris/3053
Boissiere,3.2,8.6,933,21.5,https://www.hostelworld.com/hosteldetails.php/Boissiere/Paris/1651
Hotel des Buttes Chaumont,3.2,3.9,2,32.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Buttes-Chaumont/Paris/97555
Grand Hotel de Clermont,2.0,7.9,62,28.27,https://www.hostelworld.com/hosteldetails.php/Grand-Hotel-de-Clermont/Paris/68304
Hotel Marignan,2.1,6.9,210,32.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Marignan/Paris/14256
Liberty Hotel Paris,1.9,5.2,1294,25.0,https://www.hostelworld.com/hosteldetails.php/Liberty-Hotel-Paris/Paris/8495
Korner Eiffel Hotel,4.0,9.9,20,40.0,https://www.hostelworld.com/hosteldetails.php/Korner-Eiffel-Hotel/Paris/3091
Hotel Beaugrenelle Saint-Charles,4.1,6.9,64,41.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaugrenelle-Saint-Charles/Paris/14103
Sully Hotel,2.7,8.1,70,27.5,https://www.hostelworld.com/hosteldetails.php/Sully-Hotel/Paris/71635
Grand Hotel Magenta,2.1,8.6,356,25.0,https://www.hostelworld.com/hosteldetails.php/Grand-Hotel-Magenta/Paris/8640
Hotel du Square d'Anvers,1.9,8.4,35,39.5,https://www.hostelworld.com/hosteldetails.php/Hotel-du-Square-d-Anvers/Paris/71548
Hotel de la Terrasse,3.5,6.1,176,25.0,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Terrasse/Paris/8879
Hotel Paris Saint-Honore,1.5,7.0,57,37.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Paris-Saint-Honore/Paris/68216
Hipotel Paris Belleville,2.9,4.2,834,24.5,https://www.hostelworld.com/hosteldetails.php/Hipotel-Paris-Belleville/Paris/17136
Hotel Andre Gill,1.9,8.7,2639,6.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Andre-Gill/Paris/29
Hotel Du Globe,1.3,6.6,167,27.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Du-Globe/Paris/99002
Hotel des Mines,2.7,9.3,320,45.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Mines/Paris/5593
Hotel des Olympiades,3.2,6.4,1230,21.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Olympiades/Paris/3231
Hotel de la Tour Eiffel,2.4,0.0,178,41.8,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Tour-Eiffel/Paris/13475
Louisa Hotel,3.3,7.5,165,34.5,https://www.hostelworld.com/hosteldetails.php/Louisa-Hotel/Paris/13885
Hotel des Arts,2.2,9.7,67,36.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Arts/Paris/12636
Hotel Nation Montmartre,2.3,0.0,5,36.34,https://www.hostelworld.com/hosteldetails.php/Hotel-Nation-Montmartre/Paris/67992
Cafe Hotel de l'avenir,4.4,9.5,199,24.5,https://www.hostelworld.com/hosteldetails.php/Cafe-Hotel-de-l-avenir/Paris/65184
GOLDHOTEL,1.9,0.0,11,27.0,https://www.hostelworld.com/hosteldetails.php/GOLDHOTEL/Paris/40193
Avalon Hotel Paris *** Gare du Nord by HipHopHoste,2.1,9.1,332,32.5,https://www.hostelworld.com/hosteldetails.php/Avalon-Hotel-Paris-Gare-du-Nord-by-HipHopHoste/Paris/15381
Hotel Riviera,1.8,7.0,26,49.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Riviera/Paris/36756
Hotel Le Rocroy **** Gare du Nord by HipHopHostels,1.9,5.4,323,39.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Le-Rocroy-Gare-du-Nord-by-HipHopHostels/Paris/35200
Hipotel Belgrand,5.3,6.7,42,23.5,https://www.hostelworld.com/hosteldetails.php/Hipotel-Belgrand/Paris/78381
Kyriad Italie Gobelins,4.0,10.0,175,31.0,https://www.hostelworld.com/hosteldetails.php/Kyriad-Italie-Gobelins/Paris/3213
Hotel Maubeuge,2.0,4.9,69,26.34,https://www.hostelworld.com/hosteldetails.php/Hotel-Maubeuge/Paris/40955
Hotel Gerando,2.0,5.4,954,26.33,https://www.hostelworld.com/hosteldetails.php/Hotel-Gerando/Paris/47
Hotel D'Amiens,2.2,7.5,303,39.5,https://www.hostelworld.com/hosteldetails.php/Hotel-D-Amiens/Paris/9100
Hotel Clarisse,4.8,0.0,95,27.34,https://www.hostelworld.com/hosteldetails.php/Hotel-Clarisse/Paris/3049
Avenir Hotel,2.0,7.1,586,23.5,https://www.hostelworld.com/hosteldetails.php/Avenir-Hotel/Paris/1656
Hipotel Paris Buttes Chaumont,4.1,0.0,45,26.34,https://www.hostelworld.com/hosteldetails.php/Hipotel-Paris-Buttes-Chaumont/Paris/71253
Hotel France Albion,1.3,2.0,204,42.67,https://www.hostelworld.com/hosteldetails.php/Hotel-France-Albion/Paris/2952
Résidence Internationale de Paris,5.8,9.4,2,45.0,https://www.hostelworld.com/hosteldetails.php/Residence-Internationale-de-Paris/Paris/294403
Hotel Chemin Vert,3.5,9.7,10,39.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Chemin-Vert/Paris/68419
Hotel Cordelia,0.9,0.0,0,54.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Cordelia/Paris/270855
Hotel De France,1.9,0.0,0,27.67,https://www.hostelworld.com/hosteldetails.php/Hotel-De-France/Paris/296560
Hotel Altona**,2.1,0.0,111,24.75,https://www.hostelworld.com/hosteldetails.php/Hotel-Altona/Paris/3393
Hotel Alizé Montmartre,1.9,0.0,7,38.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Montmartre/Paris/269550
Luxelthe Hotel,1.9,0.0,8,36.5,https://www.hostelworld.com/hosteldetails.php/Luxelthe-Hotel/Paris/88275
Beautiful City Hostel,3.3,7.9,271,30.5,https://www.hostelworld.com/hosteldetails.php/Beautiful-City-Hostel/Paris/82055
Hotel Residence Villiers,2.8,9.1,18,34.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Residence-Villiers/Paris/36824
Le Glam’s Hôtel,4.7,0.0,63,30.0,https://www.hostelworld.com/hosteldetails.php/Le-Glams-Hotel/Paris/21903
Hôtel Brasserie Tréma,4.1,9.4,2,29.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Brasserie-Trema/Paris/101535
Hotel Montparnasse Saint Germain,2.8,0.0,2,53.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Montparnasse-Saint-Germain/Paris/87352
Hotel Reseda,6.2,5.7,138,23.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Reseda/Paris/13175
Handcircle,9.4,9.6,69,22.5,https://www.hostelworld.com/hosteldetails.php/Handcircle/Paris/79988
Hotel Briand,4.2,7.4,195,25.87,https://www.hostelworld.com/hosteldetails.php/Hotel-Briand/Paris/16357
Champerret Elysees Hotel,3.5,0.0,0,42.5,https://www.hostelworld.com/hosteldetails.php/Champerret-Elysees-Hotel/Paris/79837
Modern Hotel,3.7,3.7,198,31.5,https://www.hostelworld.com/hosteldetails.php/Modern-Hotel/Paris/15378
Hotel Alize Grenelle Tour Eiffel,4.1,0.0,26,41.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Grenelle-Tour-Eiffel/Paris/14070
Best Western Quartier latin Panthéon,2.9,0.0,4,59.5,https://www.hostelworld.com/hosteldetails.php/Best-Western-Quartier-latin-Pantheon/Paris/77168
Hotel Opera Frochot,1.7,0.0,8,45.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Frochot/Paris/71099
Neuilly Park Hotel Porte Maillot,4.5,0.0,26,41.0,https://www.hostelworld.com/hosteldetails.php/Neuilly-Park-Hotel-Porte-Maillot/Paris/13853
Hotel Edouard VI,2.6,2.0,34,43.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Edouard-VI/Paris/13852
Eurohotel,12.5,6.0,33,22.33,https://www.hostelworld.com/hosteldetails.php/Eurohotel/Paris/10711
Hotel de l'Exposition,2.2,0.0,1,44.67,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Exposition/Paris/68778
Hotel de l'Europe,2.9,8.9,424,29.5,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Europe/Paris/1653
Hotel de l'Union,5.5,0.0,0,25.0,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Union/Paris/99006
Garden Opera,1.7,0.0,82,29.75,https://www.hostelworld.com/hosteldetails.php/Garden-Opera/Paris/5073
Adonis Sacre Coeur Hotel Roma,2.6,6.9,2,37.5,https://www.hostelworld.com/hosteldetails.php/Adonis-Sacre-Coeur-Hotel-Roma/Paris/263702
Hotel Comete Paris,5.8,0.0,0,70.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Comete-Paris/Paris/265264
Hotel Claude Bernard Saint Germain,2.2,0.0,1,57.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Claude-Bernard-Saint-Germain/Paris/93935
Hotel Arc de Triomphe Etoile,2.9,0.0,0,55.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Arc-de-Triomphe-Etoile/Paris/275335
Corona Rodier,1.4,4.9,4,38.0,https://www.hostelworld.com/hosteldetails.php/Corona-Rodier/Paris/282243
Hotel Villa Glamour,4.1,0.0,4,62.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Villa-Glamour/Paris/68641
Villa des Princes,1.8,0.0,79,56.52,https://www.hostelworld.com/hosteldetails.php/Villa-des-Princes/Paris/605
Hotel  Korner Etoile,3.6,7.7,21,27.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Korner-Etoile/Paris/61335
Hôtel des Deux Avenues,2.9,0.0,8,54.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Deux-Avenues/Paris/40815
Hotel Paris Bruxelles - Paris,2.1,0.0,21,32.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Paris-Bruxelles-Paris/Paris/66870
Classics Hôtel Porte de Versailles,5.1,0.0,1,35.0,https://www.hostelworld.com/hosteldetails.php/Classics-Hotel-Porte-de-Versailles/Paris/67619
Hotel Audran,2.1,8.9,38,32.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Audran/Paris/35618
Hotel Opera Vivaldi 3***,0.6,0.0,7,60.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Vivaldi-3/Paris/29730
Hotel Beaunier,4.7,7.2,145,33.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaunier/Paris/37
